"filename", "language", "C#", "JSON", "XML", "JavaScript", "comment", "blank", "total"
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/Controllers/AuthenticateController.cs", "C#", 80, 0, 0, 0, 14, 18, 112
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/Controllers/CourseTableController.cs", "C#", 61, 0, 0, 0, 5, 12, 78
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/Controllers/NewsController.cs", "C#", 25, 0, 0, 0, 1, 3, 29
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/Controllers/UserInfoController.cs", "C#", 38, 0, 0, 0, 3, 3, 44
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/Crawler/CourseTableCrawler.cs", "C#", 74, 0, 0, 0, 53, 9, 136
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/Crawler/JwCrawler.cs", "C#", 188, 0, 0, 0, 329, 26, 543
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/Crawler/StudentInfoCrawler.cs", "C#", 46, 0, 0, 0, 48, 5, 99
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/Crawler/encrypt.js", "JavaScript", 0, 0, 0, 518, 2, 8, 528
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/LuoJiaCampus_Server.csproj", "XML", 0, 0, 16, 0, 0, 5, 21
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/Models/Comment.cs", "C#", 17, 0, 0, 0, 0, 4, 21
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/Models/Course.cs", "C#", 14, 0, 0, 0, 0, 6, 20
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/Models/CourseScore.cs", "C#", 12, 0, 0, 0, 0, 1, 13
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/Models/News.cs", "C#", 20, 0, 0, 0, 0, 4, 24
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/Models/ScoreForm.cs", "C#", 8, 0, 0, 0, 0, 5, 13
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/Models/User.cs", "C#", 19, 0, 0, 0, 0, 0, 19
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/ORM/ServerDBContext.cs", "C#", 13, 0, 0, 0, 0, 4, 17
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/Program.cs", "C#", 24, 0, 0, 0, 0, 3, 27
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/Properties/launchSettings.json", "JSON", 0, 30, 0, 0, 0, 1, 31
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/Startup.cs", "C#", 63, 0, 0, 0, 11, 12, 86
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/ToolClass/Constants.cs", "C#", 5, 0, 0, 0, 0, 0, 5
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/ToolClass/DecodeJwt.cs", "C#", 19, 0, 0, 0, 1, 2, 22
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/ToolClass/encryptPwd.cs", "C#", 17, 0, 0, 0, 0, 2, 19
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/appsettings.Development.json", "JSON", 0, 9, 0, 0, 0, 1, 10
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/appsettings.json", "JSON", 0, 13, 0, 0, 0, 1, 14
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/bin/Debug/netcoreapp3.1/LuoJiaCampus_Server.deps.json", "JSON", 0, 5038, 0, 0, 0, 0, 5038
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/bin/Debug/netcoreapp3.1/LuoJiaCampus_Server.runtimeconfig.dev.json", "JSON", 0, 8, 0, 0, 0, 0, 8
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/bin/Debug/netcoreapp3.1/LuoJiaCampus_Server.runtimeconfig.json", "JSON", 0, 12, 0, 0, 0, 0, 12
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/bin/Debug/netcoreapp3.1/Properties/launchSettings.json", "JSON", 0, 30, 0, 0, 0, 1, 31
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/bin/Debug/netcoreapp3.1/appsettings.Development.json", "JSON", 0, 9, 0, 0, 0, 1, 10
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/bin/Debug/netcoreapp3.1/appsettings.json", "JSON", 0, 13, 0, 0, 0, 1, 14
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/bin/Debug/netcoreapp3.1/publish/LuoJiaCampus_Server.deps.json", "JSON", 0, 5038, 0, 0, 0, 0, 5038
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/bin/Debug/netcoreapp3.1/publish/LuoJiaCampus_Server.runtimeconfig.json", "JSON", 0, 12, 0, 0, 0, 0, 12
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/bin/Debug/netcoreapp3.1/publish/appsettings.Development.json", "JSON", 0, 9, 0, 0, 0, 1, 10
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/bin/Debug/netcoreapp3.1/publish/appsettings.json", "JSON", 0, 13, 0, 0, 0, 1, 14
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/bin/Release/netcoreapp3.1/LuoJiaCampus_Server.deps.json", "JSON", 0, 5038, 0, 0, 0, 0, 5038
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/bin/Release/netcoreapp3.1/LuoJiaCampus_Server.runtimeconfig.dev.json", "JSON", 0, 8, 0, 0, 0, 0, 8
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/bin/Release/netcoreapp3.1/LuoJiaCampus_Server.runtimeconfig.json", "JSON", 0, 12, 0, 0, 0, 0, 12
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/bin/Release/netcoreapp3.1/Properties/launchSettings.json", "JSON", 0, 30, 0, 0, 0, 1, 31
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/bin/Release/netcoreapp3.1/appsettings.Development.json", "JSON", 0, 9, 0, 0, 0, 1, 10
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/bin/Release/netcoreapp3.1/appsettings.json", "JSON", 0, 13, 0, 0, 0, 1, 14
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/bin/Release/netcoreapp3.1/publish/Crawler/encrypt.js", "JavaScript", 0, 0, 0, 518, 2, 8, 528
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/bin/Release/netcoreapp3.1/publish/LuoJiaCampus_Server.deps.json", "JSON", 0, 5038, 0, 0, 0, 0, 5038
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/bin/Release/netcoreapp3.1/publish/LuoJiaCampus_Server.runtimeconfig.json", "JSON", 0, 12, 0, 0, 0, 0, 12
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/bin/Release/netcoreapp3.1/publish/appsettings.Development.json", "JSON", 0, 9, 0, 0, 0, 1, 10
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/bin/Release/netcoreapp3.1/publish/appsettings.json", "JSON", 0, 13, 0, 0, 0, 1, 14
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/obj/Debug/netcoreapp3.1/.NETCoreApp,Version=v3.1.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/obj/Debug/netcoreapp3.1/LuoJiaCampus_Server.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/obj/Debug/netcoreapp3.1/LuoJiaCampus_Server.MvcApplicationPartsAssemblyInfo.cs", "C#", 4, 0, 0, 0, 9, 5, 18
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/obj/Debug/netcoreapp3.1/project.razor.json", "JSON", 0, 20614, 0, 0, 0, 0, 20614
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/obj/Debug/netcoreapp3.1/staticwebassets/LuoJiaCampus_Server.StaticWebAssets.xml", "XML", 0, 0, 1, 0, 0, 0, 1
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/obj/LuoJiaCampus_Server.csproj.nuget.dgspec.json", "JSON", 0, 99, 0, 0, 0, 0, 99
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/obj/LuoJiaCampus_Server.csproj.nuget.g.props", "XML", 0, 0, 15, 0, 0, 0, 15
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/obj/LuoJiaCampus_Server.csproj.nuget.g.targets", "XML", 0, 0, 6, 0, 0, 0, 6
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/obj/Release/netcoreapp3.1/LuoJiaCampus_Server.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 9, 5, 23
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/obj/Release/netcoreapp3.1/LuoJiaCampus_Server.MvcApplicationPartsAssemblyInfo.cs", "C#", 4, 0, 0, 0, 9, 5, 18
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/obj/Release/netcoreapp3.1/staticwebassets/LuoJiaCampus_Server.StaticWebAssets.xml", "XML", 0, 0, 1, 0, 0, 0, 1
"/Users/thomas/Desktop/LuoJiaCampus/LuoJiaCampus_Server/obj/project.assets.json", "JSON", 0, 5210, 0, 0, 0, 0, 5210
"Total", "-", 772, 46339, 39, 1036, 507, 174, 48867